id ,title,price, unit price,Property information,floor area,House structure,Building Type,Architectural structure,Interior design,ladder ratio,heating,elevator,District,Specific area,hall,kitchen,toilet,Floor type,total floors,east,south,west,north,east-south,east-north,west-south,west-north,room,Longtitude,Latitude,PublishTime,imgUrl,collected,saled
23,"Jiaomen West Subway Line 4+10, two-bedroom south-facing, unobstructed, good lighting",510,56373,non_co_ownership,90.47,flat_floor,banta_combination,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,15,no,south,no,no,no,no,no,no,2,115.4472834,40.24224119,None,None,FALSE,FALSE
24,"Line 10, Jiaomen Dongdahongmen No. 35, low-floor two-bedroom commercial house for sale",360,53350,non_co_ownership,67.48,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,east,no,west,no,no,no,no,no,2,116.5916081,39.6786519,None,None,FALSE,FALSE
25,"Kangyuanju has a two-bedroom apartment with an elevator in the north and south, and the new house is five years old.",455,50924,non_co_ownership,89.35,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.222222222,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,14,no,south,no,north,no,no,no,no,2,115.8021829,40.80418808,None,None,FALSE,FALSE
26,Commodity house with key at No. 6 Ximachang Road,570,50479,non_co_ownership,112.92,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.333333333,self_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,14,no,south,no,north,no,no,no,no,2,116.0517737,39.66296918,None,None,FALSE,FALSE
27,"Jiaomen Dongli Manwu is the only one sincerely selling Line 10, Line 4, Jiaomen West Metro",447,52601,non_co_ownership,84.98,flat_floor,tower,steel_concrete_structure,hardcover,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,18,no,no,no,no,no,northeast,no,no,2,115.7287821,39.37558325,None,None,FALSE,FALSE
28,Majiapu Jiaomen low floor southwest two bedrooms with convenient transportation,310,60547,non_co_ownership,51.2,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,no,no,no,no,no,southwest,no,2,115.9762892,40.77050609,None,None,FALSE,FALSE
29,Jiaomen Yangqiao Jiaomen East Li is full of five complete patterns,335,56021,non_co_ownership,59.8,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,2,115.6300514,39.43961091,None,None,FALSE,FALSE
30,Majiapu Jiaomen's hard-covered and restored layout is transparent from north to south and close to the subway,460,69877,non_co_ownership,65.83,duplex,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,2,1,2,top_floor,6,no,south,no,north,no,no,no,no,3,116.9301886,40.9296334,None,None,FALSE,FALSE
31,"The house is the only one in five years, well decorated, close to the subway, convenient transportation, new building age",608,60552,non_co_ownership,100.41,flat_floor,banta_combination,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,bottom_floor,14,no,south,no,north,no,no,no,no,2,116.542587,39.06356082,None,None,FALSE,FALSE
32,"Jiaomen, Sunshine Garden, split flow of people and vehicles, transparent pattern from north to south",1050,75698,non_co_ownership,138.71,flat_floor,Banlou,steel_concrete_structure,simple_decoration,1,central_heating,elevator,Fengtai,Corner_Gate,1,1,2,high_floor,19,no,south,no,north,no,no,no,no,3,116.3322027,39.65812544,None,None,FALSE,FALSE
33,Jiaomenjia No. 4 Courtyard Finely Decorated South-facing Daylight Unobstructed Near Metro Line 10 For Sale,280,65011,non_co_ownership,43.07,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,no,no,no,no,no,1,115.7376008,39.50594923,None,None,FALSE,FALSE
34,Majiapu Commercial District Jiaomendongli is the only line near 10 that has been transparent from north to south for five years,329,62667,non_co_ownership,52.5,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,2,115.3630375,40.63492167,None,None,FALSE,FALSE
35,Jiaomen Majiapu Dahongmen Hardcover Duplex Yiran Jiayuan No. 6 Yard,999,53142,co_ownership,187.99,duplex,banta_combination,steel_concrete_structure,hardcover,0.5,self_heating,elevator,Fengtai,Corner_Gate,2,1,2,top_floor,11,no,south,no,north,no,no,no,no,3,115.8497707,40.22500635,None,None,FALSE,FALSE
36,"Dahongmen West Racecourse North Lane is transparent from north to south, two bedrooms are full of five and the only one",339,62778,non_co_ownership,54,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,2,116.4893233,40.99098727,None,None,FALSE,FALSE
37,Sincerely sell Line 10 Jiaomen East / Line 4 Jiaomen West Subway Jiaomen Dongli,330,57292,non_co_ownership,57.6,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,2,116.3238783,39.5575261,None,None,FALSE,FALSE
38,"Yangqiao Jiaomen Majiapu Duplex, Three Bedrooms, Five Bedrooms, The Only North-South Transparent Close to the Subway",572,59858,non_co_ownership,95.56,duplex,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,2,1,2,top_floor,6,no,south,no,north,no,no,no,no,3,116.1598232,39.56106275,None,None,FALSE,FALSE
39,"Majiapu Fengnan Sega has five years old, elevator, good lighting, square layout",580,56278,non_co_ownership,103.06,flat_floor,banta_combination,steel_concrete_structure,simple_decoration,0.333333333,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,14,no,south,west,no,no,no,no,no,3,115.2650779,40.90057835,None,None,FALSE,FALSE
40,Line 10 Majiapu Jiaomen East Yiran Homeland has five only three bedrooms with transparent north and south,680,54188,non_co_ownership,125.49,flat_floor,Banlou,steel_concrete_structure,hardcover,0.5,self_heating,elevator,Fengtai,Corner_Gate,1,1,2,bottom_floor,11,no,south,no,north,no,no,no,no,3,115.6380927,39.28459709,None,None,FALSE,FALSE
41,"Well-decorated north and south three-bedroom apartments, sold sincerely, convenient for viewing",458,55435,co_ownership,82.62,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,3,116.0905088,39.45842394,None,None,FALSE,FALSE
42,The north-south transparent and formal three-bedroom living room of Jiaomen Xima Community is well-lit,468,54956,non_co_ownership,85.16,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,3,115.2615752,40.00778629,None,None,FALSE,FALSE
43,Jiaomenjia No. 4 courtyard has a wide view on the north and south low floors,330,59643,non_co_ownership,55.33,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,2,116.8766486,39.19312842,None,None,FALSE,FALSE
44,Yiran Homeland No. 6 Courtyard Finely Decorated Large Living Room Duplex with no shelter and no waste,645,55503,non_co_ownership,116.21,duplex,Banlou,mixed_structure,hardcover,0.333333333,self_heating,no,Fengtai,Corner_Gate,1,1,2,middle_floor,6,no,south,no,no,no,no,no,no,2,115.9163135,39.01763146,None,None,FALSE,FALSE
45,The middle level of the first three-bedroom south facing oasis is well lit,780,61423,non_co_ownership,126.99,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,2,middle_floor,21,no,south,no,no,no,no,no,no,3,116.7814423,40.74655879,None,None,FALSE,FALSE
46,"Only for five or more years, elevator, small stall, good apartment",892,53986,non_co_ownership,165.23,duplex,Banlou,mixed_structure,simple_decoration,0.333333333,self_heating,no,Fengtai,Corner_Gate,3,1,2,high_floor,7,no,south,no,north,no,no,no,no,4,115.5384012,40.9243214,None,None,FALSE,FALSE
47,Majiapu Line 10 Jiaomen East Formal Two-Bedroom House with transparent north and south without facing the street,420,55748,non_co_ownership,75.34,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,self_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2,115.2616489,40.78669403,None,None,FALSE,FALSE
48,"Sida Community, Majiapu Jiaomen, not facing the street, the only one full of five.",351,52950,non_co_ownership,66.29,flat_floor,Banlou,mixed_structure,simple_decoration,0.25,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,2,115.4207829,39.08541932,None,None,FALSE,FALSE
49,Majiapu Jiaomen Jiaomen Dongli North and South Two Residences are worth seeing,289,48490,non_co_ownership,59.6,flat_floor,Banlou,mixed_structure,others,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2,116.4589967,40.07866414,None,None,FALSE,FALSE
50,"The north and south are transparent and unobstructed, with good lighting, good visibility, and diversion of people and vehicles",685,78367,non_co_ownership,87.41,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.666666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,19,no,south,no,north,no,no,no,no,2,115.6373588,40.65578726,None,None,FALSE,FALSE
51,Majiapu Jiaomen Jiaomendongli Big Two Residences,410,55684,non_co_ownership,73.63,flat_floor,tower,steel_concrete_structure,simple_decoration,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,19,east,south,no,north,no,no,no,no,2,116.1232023,39.40211306,None,None,FALSE,FALSE
52,Sida community has good lighting in the south-facing two-bedroom apartment,278,55050,non_co_ownership,50.5,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,no,no,no,no,no,2,115.5739047,39.96187244,None,None,FALSE,FALSE
53,"Majiapu, Jiaomen formal two-bedroom, southeast corner, middle floor, fine decoration",320,62955,non_co_ownership,50.83,flat_floor,tower,mixed_structure,hardcover,0.2,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,no,no,no,southeast,no,no,no,2,115.9426422,40.4943609,None,None,FALSE,FALSE
54,"One-bedroom apartment at Dahongmen Yangqiao, East Majiapu, Jiaomen, square apartment, good lighting",298,51710,non_co_ownership,57.63,flat_floor,tower,steel_concrete_structure,simple_decoration,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,18,east,no,west,no,no,no,no,no,1,115.5004364,39.44310775,None,None,FALSE,FALSE
55,Jiaomen Dongli regular north-south transparent Sanjushuang Metro Line 10 and Line 4,420,60958,non_co_ownership,68.9,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,3,115.5108614,40.69114713,None,None,FALSE,FALSE
56,"This house is not the only commercial house for five or more years, all facing south",420,62473,co_ownership,67.23,flat_floor,banta_combination,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,bottom_floor,14,no,south,no,no,no,no,no,no,1,115.527542,40.64990224,None,None,FALSE,FALSE
57,Majiapu Jiaomen finely decorated low-floor one-bedroom,268,62038,non_co_ownership,43.2,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,east,no,no,no,no,no,no,no,1,116.0176181,40.12691374,None,None,FALSE,FALSE
58,"Line 10, Line 4, double subway, middle floor, south facing daylighting, sold in good faith",318,69707,non_co_ownership,45.62,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,self_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,7,no,south,no,no,no,no,no,no,1,116.6166267,40.34327904,None,None,FALSE,FALSE
59,Xinglinyuan’s formal one-bedroom apartment is well-equipped and is fully furnished in the north-south area.,350,54594,non_co_ownership,64.11,flat_floor,tower,steel_concrete_structure,simple_decoration,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,18,no,south,no,north,no,no,no,no,1,115.7339409,40.5643616,None,None,FALSE,FALSE
60,Jiaomenjia No. 8 Yard is the only one-bedroom apartment after five years,368,51824,non_co_ownership,71.01,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,21,no,no,no,no,no,no,no,northwest,1,116.6865283,40.45574328,None,None,FALSE,FALSE
61,Jiaomen Dongli Room 2 Room 1 Hall North and South,313,54721,co_ownership,57.2,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2,116.1504378,39.67178773,None,None,FALSE,FALSE
62,Line 10 Majiapu Jiaomen Dongdahongmen No. 35 Courtyard One-bedroom in Jeollanam-do,275,54716,non_co_ownership,50.26,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,no,no,no,no,no,1,116.8813815,39.45292531,None,None,FALSE,FALSE
63,Majiapu Dahongmen Jiaomen Line 10 Jiaomen East Subway has a transparent apartment layout from north to south,655,58285,non_co_ownership,112.38,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,self_heating,no,Fengtai,Corner_Gate,1,1,2,middle_floor,6,no,south,no,north,no,no,no,no,3,116.1767755,40.27820173,None,None,FALSE,FALSE
64,The only sincerely selling elevator room for over 5,375,48425,non_co_ownership,77.44,flat_floor,tower,steel_concrete_structure,hardcover,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,18,no,no,west,no,no,no,no,no,2,115.6440108,40.99315652,None,None,FALSE,FALSE
65,"A regular three-bedroom apartment in Dongli, Jiaomen is transparent from north to south, sign at any time",390,50650,non_co_ownership,77,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,3,116.0189958,39.93406755,None,None,FALSE,FALSE
66,Majiapu Yangqiao Jiaomen low-floor one-bedroom fine decoration,290,76924,non_co_ownership,37.7,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,no,no,no,no,no,2,115.3867354,40.84037814,None,None,FALSE,FALSE
67,"Jiaomen Dongli, fine decoration, two-bedroom, double subway",405,52326,non_co_ownership,77.4,flat_floor,tower,steel_concrete_structure,hardcover,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,18,east,no,no,no,no,no,no,no,2,116.7996658,39.54472946,None,None,FALSE,FALSE
68,"Majiapu Jiaomen Dongli is transparent from north to south, low floors and convenient transportation",410,61562,non_co_ownership,66.6,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,3,116.6342854,40.32070348,None,None,FALSE,FALSE
69,The manager recommends a two-bedroom house with good lighting from the north to south in Jiaomen Dongli,297,52225,non_co_ownership,56.87,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2,116.0763682,39.29604211,None,None,FALSE,FALSE
70,Majiapu Dahongmen two-bedroom apartment is fully furnished after 2000,465,58869,non_co_ownership,78.99,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,no,no,no,no,no,2,116.2124986,39.78679623,None,None,FALSE,FALSE
71,Line 10 Jiaomen East No. 35 Yard More than 4 million small three-bedroom commercial houses are sincerely sold,438,50213,non_co_ownership,87.23,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,east,no,west,no,no,no,no,no,3,115.7311422,39.19461817,None,None,FALSE,FALSE
72,The three-bedroom apartment of Majiapujia No.120 Courtyard is transparent from north to south.,465,71254,non_co_ownership,65.26,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,3,115.147791,39.09995314,None,None,FALSE,FALSE
73,"Majiapu Jiaomen two-bedroom, close to the subway, the only one for five",320,57338,non_co_ownership,55.81,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2,116.7147577,40.76070557,None,None,FALSE,FALSE
74,Majiapu Jiaomen South-facing two-bedroom house with five and only one,275,54456,non_co_ownership,50.5,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,no,no,no,no,no,2,115.5383407,39.97646165,None,None,FALSE,FALSE
75,Dahongmen No. 35 Yard Connects North and South to Perspective Yehao 2001 Banlou Community,435,54876,non_co_ownership,79.27,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,5,no,south,no,north,no,no,no,no,2,115.4301451,40.91389727,None,None,FALSE,FALSE
76,East-facing formal one-bedroom well decorated and well-lit,280,49392,co_ownership,56.69,flat_floor,tower,steel_concrete_structure,hardcover,0.142857143,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,18,east,no,no,no,no,no,no,no,1,115.9139954,40.37431729,None,None,FALSE,FALSE
77,Courtyard No. 1 Jiaomen Road is bright and bright from north to south,399,57818,non_co_ownership,69.01,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,3,116.5120166,39.63858444,None,None,FALSE,FALSE
78,"Majiapu business district has a two-bedroom large living room with a transparent north-south area, sign up for sale at any time",450,50364,non_co_ownership,89.35,flat_floor,Banlou,steel_concrete_structure,hardcover,0.222222222,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,14,no,south,no,north,no,no,no,no,2,115.3103293,39.33837167,None,None,FALSE,FALSE
79,Majiapu Jiaomen Dahongmen formal two-bedroom apartment for sale in east-west square layout,338,54306,non_co_ownership,62.24,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,east,no,west,no,no,no,no,no,2,116.5312895,39.07514919,None,None,FALSE,FALSE
80,Majiapu Jiaomen Metro Line 10 Two-bedroom,390,52968,non_co_ownership,73.63,flat_floor,tower,mixed_structure,simple_decoration,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,19,no,south,no,no,no,no,no,northwest,2,115.5864504,40.22858006,None,None,FALSE,FALSE
81,"Two-bedroom, well-decorated Jiaomen Dongli Community without shelter",308,61898,non_co_ownership,49.76,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,no,no,no,southwest,no,2,116.9373521,40.46757013,None,None,FALSE,FALSE
82,"Formal 2 bedrooms, the owner sincerely sells Jiaomen West Station with elevators, Line 4+10",452,57912,non_co_ownership,78.05,flat_floor,tower,steel_concrete_structure,hardcover,0.142857143,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,18,no,south,no,no,no,no,no,no,2,115.6847455,39.33831136,None,None,FALSE,FALSE
